Ranking,Cancion,Artista,Semanas en el ranking,Streams,plataforma,semana,País
1,La Triple T,TINI,3.0,2849060.0,spotify,20-05-2022/26-05-2022,Argentina
2,Ojitos Lindos,"Bad Bunny, Bomba Estéreo",3.0,2513685.0,spotify,20-05-2022/26-05-2022,Argentina
3,Moscow Mule,Bad Bunny,3.0,2131114.0,spotify,20-05-2022/26-05-2022,Argentina
4,Me Porto Bonito,"Bad Bunny, Chencho Corleone",3.0,1920041.0,spotify,20-05-2022/26-05-2022,Argentina
5,Si Quieren Frontear,"Duki, De La Ghetto, Quevedo",8.0,1875796.0,spotify,20-05-2022/26-05-2022,Argentina
6,cuatro veinte,Emilia,9.0,1691208.0,spotify,20-05-2022/26-05-2022,Argentina
7,Una Noche en Medellín,Cris Mj,14.0,1676047.0,spotify,20-05-2022/26-05-2022,Argentina
8,"Paulo Londra: Bzrp Music Sessions, Vol. 23","Bizarrap, Paulo Londra",5.0,1627245.0,spotify,20-05-2022/26-05-2022,Argentina
9,Marte,"Sofía Reyes, Maria Becerra",15.0,1546496.0,spotify,20-05-2022/26-05-2022,Argentina
10,As It Was,Harry Styles,8.0,1534651.0,spotify,20-05-2022/26-05-2022,Argentina
11,ARRANCARMELO,WOS,8.0,1508572.0,spotify,20-05-2022/26-05-2022,Argentina
999,,,,,,,
12,PROVENZA,KAROL G,5.0,1474152.0,spotify,20-05-2022/26-05-2022,Argentina
13,Desesperados,"Rauw Alejandro, Chencho Corleone",24.0,1379742.0,spotify,20-05-2022/26-05-2022,Argentina
14,Te Mentiría Remix,"Luck Ra, Rusherking",4.0,1325416.0,spotify,20-05-2022/26-05-2022,Argentina
15,Universo Paralelo,"La K'onga, Nahuel Pennisi",28.0,1283788.0,spotify,20-05-2022/26-05-2022,Argentina
16,Te Felicito,"Shakira, Rauw Alejandro",5.0,1283001.0,spotify,20-05-2022/26-05-2022,Argentina
17,Plan A,Paulo Londra,10.0,1273275.0,spotify,20-05-2022/26-05-2022,Argentina
18,Carne y Hueso,TINI,1.0,1249226.0,spotify,20-05-2022/26-05-2022,Argentina
19,"Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap, Tiago PZK",22.0,1183357.0,spotify,20-05-2022/26-05-2022,Argentina
20,Party,"Bad Bunny, Rauw Alejandro",3.0,1171502.0,spotify,20-05-2022/26-05-2022,Argentina
21,Tití Me Preguntó,Bad Bunny,3.0,1151137.0,spotify,20-05-2022/26-05-2022,Argentina
22,Fantasi,"TINI, Beéle",14.0,1119757.0,spotify,20-05-2022/26-05-2022,Argentina
23,Jordan,Ryan Castro,14.0,1081781.0,spotify,20-05-2022/26-05-2022,Argentina
24,Otra Noche,"Los Ángeles Azules, Nicki Nicole",28.0,1069592.0,spotify,20-05-2022/26-05-2022,Argentina
25,Tranquila,"FMK, Maria Becerra",19.0,1032072.0,spotify,20-05-2022/26-05-2022,Argentina
26,Bar,"TINI, L-Gante",28.0,998147.0,spotify,20-05-2022/26-05-2022,Argentina
27,MAMIII,"Becky G, KAROL G",15.0,973720.0,spotify,20-05-2022/26-05-2022,Argentina
28,Numero 1,"Oscu, Nobeat",8.0,960346.0,spotify,20-05-2022/26-05-2022,Argentina
29,ULTRA SOLO,"Polimá Westcoast, Pailita",4.0,947178.0,spotify,20-05-2022/26-05-2022,Argentina
30,Entre Nosotros (Remix) [con Nicki Nicole],"Tiago PZK, LIT killah, Maria Becerra, Nicki Nicole",21.0,938906.0,spotify,20-05-2022/26-05-2022,Argentina
1,Ojitos Lindos,"Bad Bunny, Bomba Estéreo",3.0,326362.0,spotify,20-05-2022/26-05-2022,Bolivia
2,Me Porto Bonito,"Bad Bunny, Chencho Corleone",3.0,323918.0,spotify,20-05-2022/26-05-2022,Bolivia
3,Moscow Mule,Bad Bunny,3.0,220512.0,spotify,20-05-2022/26-05-2022,Bolivia
4,PROVENZA,KAROL G,5.0,201274.0,spotify,20-05-2022/26-05-2022,Bolivia
5,Party,"Bad Bunny, Rauw Alejandro",3.0,198867.0,spotify,20-05-2022/26-05-2022,Bolivia
6,Tití Me Preguntó,Bad Bunny,3.0,187281.0,spotify,20-05-2022/26-05-2022,Bolivia
