Ranking,Cancion,Artista,Semanas en el ranking,Streams,plataforma,semana,País
1,Universo Paralelo,La K'onga & Nahuel Pennisi,35.0,4726435.0,youtube music,20-05-2022/26-05-2022,Argentina
2,La Triple T,TINI,3.0,3821269.0,youtube music,20-05-2022/26-05-2022,Argentina
3,Frontea,Tirri La Roca & Brisa La Roca,4.0,3347759.0,youtube music,20-05-2022/26-05-2022,Argentina
4,cuatro veinte,Emilia,9.0,2948742.0,youtube music,20-05-2022/26-05-2022,Argentina
5,Carne y Hueso,TINI,2.0,2864644.0,youtube music,20-05-2022/26-05-2022,Argentina
6,Fua Mi Amor (feat. Four Plack),Callejero Fino,5.0,2797984.0,youtube music,20-05-2022/26-05-2022,Argentina
7,PROVENZA,KAROL G,5.0,2788025.0,youtube music,20-05-2022/26-05-2022,Argentina
8,Yo Era / Pero Me Acuerdo de Ti (En Vivo en el Luna Park),Angela Leiva & Q' Lokura,2.0,2649153.0,youtube music,20-05-2022/26-05-2022,Argentina
9,Marte (Live),Sofia Reyes & Maria Becerra,15.0,2647221.0,youtube music,20-05-2022/26-05-2022,Argentina
10,Ojitos Lindos,Bad Bunny & Bomba Estéreo,3.0,2103209.0,youtube music,20-05-2022/26-05-2022,Argentina
11,Pa Tra Rkt (Remix),"Callejero Fino, Ecko, Fili Wey, Homer El Mero Mero, John C, Kaleb di Masi, L-Gante & Papichamp",31.0,2085239.0,youtube music,20-05-2022/26-05-2022,Argentina
12,Una Noche en Medellín,Cris Mj,14.0,2076550.0,youtube music,20-05-2022/26-05-2022,Argentina
13,"Paulo Londra: Bzrp Music Sessions, Vol. 23",Bizarrap & Paulo Londra,5.0,2020004.0,youtube music,20-05-2022/26-05-2022,Argentina
14,Otra Noche,Los Ángeles Azules & Nicki Nicole,28.0,2015240.0,youtube music,20-05-2022/26-05-2022,Argentina
15,Me Porto Bonito,Bad Bunny & Chencho Corleone,3.0,1931875.0,youtube music,20-05-2022/26-05-2022,Argentina
16,Te Felicito,Shakira & Rauw Alejandro,5.0,1919609.0,youtube music,20-05-2022/26-05-2022,Argentina
17,Si Quieren Frontear,"Duki, De La Ghetto & Quevedo",8.0,1912094.0,youtube music,20-05-2022/26-05-2022,Argentina
18,Maléfica,Cazzu & Maria Becerra,1.0,1833898.0,youtube music,20-05-2022/26-05-2022,Argentina
19,Bar,TINI & L-Gante,29.0,1828302.0,youtube music,20-05-2022/26-05-2022,Argentina
20,Desesperados,Rauw Alejandro & Chencho Corleone,24.0,1822999.0,youtube music,20-05-2022/26-05-2022,Argentina
21,Te Mentiría (Remix),Luck Ra & Rusherking,4.0,1809161.0,youtube music,20-05-2022/26-05-2022,Argentina
22,Tranquila,FMK & Maria Becerra,20.0,1800532.0,youtube music,20-05-2022/26-05-2022,Argentina
23,MAMIII,KAROL G & Becky G,15.0,1763540.0,youtube music,20-05-2022/26-05-2022,Argentina
24,Chetos Vs. Turros,Callejero Fino & Alejo Isakk,7.0,1718734.0,youtube music,20-05-2022/26-05-2022,Argentina
25,L-GANTE | DJ TAO Turreo Session #10,DJ Tao & L-Gante,2.0,1689852.0,youtube music,20-05-2022/26-05-2022,Argentina
26,"Cayó La Noche (Remix) (feat. Cruz Cafuné, Abhir Hathi, Bejo & EL IMA)","La Pantera, Quevedo & Juseph",15.0,1671503.0,youtube music,20-05-2022/26-05-2022,Argentina
27,Cochinae (feat. King Savagge),Julianno Sosa,2.0,1657527.0,youtube music,20-05-2022/26-05-2022,Argentina
28,Plan A,Paulo Londra,10.0,1598106.0,youtube music,20-05-2022/26-05-2022,Argentina
29,Envolver,Anitta,12.0,1584419.0,youtube music,20-05-2022/26-05-2022,Argentina
30,Pégate,Standly,9.0,1499422.0,youtube music,20-05-2022/26-05-2022,Argentina
1,PROVENZA,KAROL G,5.0,727646.0,youtube music,20-05-2022/26-05-2022,Bolivia
2,Me Porto Bonito,Bad Bunny & Chencho Corleone,3.0,693594.0,youtube music,20-05-2022/26-05-2022,Bolivia
3,MAMIII,KAROL G & Becky G,15.0,639629.0,youtube music,20-05-2022/26-05-2022,Bolivia
4,Ojitos Lindos,Bad Bunny & Bomba Estéreo,3.0,606073.0,youtube music,20-05-2022/26-05-2022,Bolivia
5,Te Felicito,Shakira & Rauw Alejandro,5.0,517930.0,youtube music,20-05-2022/26-05-2022,Bolivia
6,Desesperados,Rauw Alejandro & Chencho Corleone,24.0,439728.0,youtube music,20-05-2022/26-05-2022,Bolivia
7,Una Noche en Medellín,Cris Mj,14.0,425214.0,youtube music,20-05-2022/26-05-2022,Bolivia
8,San Lucas,Kevin Kaarl,10.0,384557.0,youtube music,20-05-2022/26-05-2022,Bolivia
9,Party,Bad Bunny & Rauw Alejandro,3.0,323724.0,youtube music,20-05-2022/26-05-2022,Bolivia
10,Envolver,Anitta,12.0,320771.0,youtube music,20-05-2022/26-05-2022,Bolivia
11,As It Was,Harry Styles,8.0,317397.0,youtube music,20-05-2022/26-05-2022,Bolivia
12,ULTRA SOLO,Polima Westcoast & Pailita,4.0,309672.0,youtube music,20-05-2022/26-05-2022,Bolivia
13,Tití Me Preguntó,Bad Bunny,3.0,308136.0,youtube music,20-05-2022/26-05-2022,Bolivia
14,Jordan,Ryan Castro,16.0,301375.0,youtube music,20-05-2022/26-05-2022,Bolivia
15,Loco de Remate,Bonny Lovy,15.0,298745.0,youtube music,20-05-2022/26-05-2022,Bolivia
16,París,Morat & Duki,1.0,296462.0,youtube music,20-05-2022/26-05-2022,Bolivia
17,Ya No Somos Ni Seremos,Christian Nodal,14.0,291602.0,youtube music,20-05-2022/26-05-2022,Bolivia
18,Moscow Mule,Bad Bunny,3.0,263015.0,youtube music,20-05-2022/26-05-2022,Bolivia
19,Hasta la Raíz,Natalia Lafourcade,32.0,251101.0,youtube music,20-05-2022/26-05-2022,Bolivia
20,"Cnv Sound, Vol. 14",Pure Negga,4.0,247684.0,youtube music,20-05-2022/26-05-2022,Bolivia
21,Mentiras / Boquita de Caramelo / Que Seas Feliz,Agrupación Los Capos,14.0,243012.0,youtube music,20-05-2022/26-05-2022,Bolivia
22,Chale,Edén Muñoz,12.0,241320.0,youtube music,20-05-2022/26-05-2022,Bolivia
23,Boquita de Caramelo (En Vivo),Agrupación Los Capos,19.0,222313.0,youtube music,20-05-2022/26-05-2022,Bolivia
24,Mi Corazón Te Lo Daré (Remix),Yoniko y Su Grupo Australia,35.0,222067.0,youtube music,20-05-2022/26-05-2022,Bolivia
25,Si Te Pudiera Mentir,Calibre 50,25.0,216608.0,youtube music,20-05-2022/26-05-2022,Bolivia
26,Enemy (feat. JID),Imagine Dragons,30.0,214789.0,youtube music,20-05-2022/26-05-2022,Bolivia
27,Corta Venas,Yarita Lizeth Yanarico,1.0,214473.0,youtube music,20-05-2022/26-05-2022,Bolivia
28,Palomitay,Bonny Lovy,4.0,209304.0,youtube music,20-05-2022/26-05-2022,Bolivia
29,Plan A,Paulo Londra,10.0,206041.0,youtube music,20-05-2022/26-05-2022,Bolivia
30,Pegao,Camilo,1.0,196821.0,youtube music,20-05-2022/26-05-2022,Bolivia
1,Me Porto Bonito,Bad Bunny & Chencho Corleone,3.0,5657704.0,youtube music,20-05-2022/26-05-2022,Colombia
2,PROVENZA,KAROL G,5.0,5184643.0,youtube music,20-05-2022/26-05-2022,Colombia
3,Ojitos Lindos,Bad Bunny & Bomba Estéreo,3.0,4156301.0,youtube music,20-05-2022/26-05-2022,Colombia
4,Tití Me Preguntó,Bad Bunny,3.0,3662093.0,youtube music,20-05-2022/26-05-2022,Colombia
5,Quien TV (Remix),Blessd & Ryan Castro,30.0,3253610.0,youtube music,20-05-2022/26-05-2022,Colombia
6,Instagram,Blessd,7.0,3187643.0,youtube music,20-05-2022/26-05-2022,Colombia
7,Tendencia Global,"Blessd, Myke Towers & Ovy On The Drums",10.0,3104027.0,youtube music,20-05-2022/26-05-2022,Colombia
8,Monastery,Ryan Castro & Feid,28.0,3057170.0,youtube music,20-05-2022/26-05-2022,Colombia
9,Monumento (Remix),"Andy Rivera, Ñejo & Ryan Castro",33.0,2981671.0,youtube music,20-05-2022/26-05-2022,Colombia
10,MAMIII,KAROL G & Becky G,16.0,2467110.0,youtube music,20-05-2022/26-05-2022,Colombia
11,Moscow Mule,Bad Bunny,3.0,1997378.0,youtube music,20-05-2022/26-05-2022,Colombia
12,Desesperados,Rauw Alejandro & Chencho Corleone,24.0,1945224.0,youtube music,20-05-2022/26-05-2022,Colombia
13,Si Te Pudiera Mentir,Calibre 50,26.0,1906864.0,youtube music,20-05-2022/26-05-2022,Colombia
14,Party,Bad Bunny & Rauw Alejandro,3.0,1780876.0,youtube music,20-05-2022/26-05-2022,Colombia
15,Una Noche en Medellín,Cris Mj,14.0,1696646.0,youtube music,20-05-2022/26-05-2022,Colombia
16,Mi Decisión,Sebastián Ayala,1.0,1583738.0,youtube music,20-05-2022/26-05-2022,Colombia
17,Castigo,Feid,2.0,1509068.0,youtube music,20-05-2022/26-05-2022,Colombia
18,Medallo,"Blessd, Justin Quiles & Lenny Tavárez",31.0,1498367.0,youtube music,20-05-2022/26-05-2022,Colombia
19,Mojando Asientos (feat. Feid),Maluma,9.0,1490585.0,youtube music,20-05-2022/26-05-2022,Colombia
20,La Llevo Al Cielo,"Chencho Corleone, Chris Jedi, Anuel AA & Ñengo Flow",1.0,1471532.0,youtube music,20-05-2022/26-05-2022,Colombia
21,Mujeriego,Ryan Castro,23.0,1468131.0,youtube music,20-05-2022/26-05-2022,Colombia
22,El Precio de Tu Error (En Vivo),Luis Alfonso,21.0,1384762.0,youtube music,20-05-2022/26-05-2022,Colombia
23,10 PM,Blessd,2.0,1215827.0,youtube music,20-05-2022/26-05-2022,Colombia
24,Envolver,Anitta,12.0,1167186.0,youtube music,20-05-2022/26-05-2022,Colombia
25,Te Felicito,Shakira & Rauw Alejandro,5.0,1134520.0,youtube music,20-05-2022/26-05-2022,Colombia
26,Andrea,Bad Bunny & Buscabulla,3.0,1110741.0,youtube music,20-05-2022/26-05-2022,Colombia
27,Niña de Mis Sueños,Ryan Castro & Blessd,18.0,1079851.0,youtube music,20-05-2022/26-05-2022,Colombia
28,Desde Mis Ojos (Remix),Chris Lebron,2.0,1070203.0,youtube music,20-05-2022/26-05-2022,Colombia
29,Pantysito,"Alejo, Feid & Robi",10.0,1051125.0,youtube music,20-05-2022/26-05-2022,Colombia
30,París,Morat & Duki,1.0,1049249.0,youtube music,20-05-2022/26-05-2022,Colombia
1,Cochinae (feat. King Savagge),Julianno Sosa,5.0,3044139.0,youtube music,20-05-2022/26-05-2022,Chile
2,ULTRA SOLO,Polima Westcoast & Pailita,15.0,2750299.0,youtube music,20-05-2022/26-05-2022,Chile
